VISIT_AREA_TYPE_CD,VISIT_AREA_NM,SCORE,VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM,MBTI
11,녹색시간,4.477253871819668,2210220007,b_b007325,7,2022-10-22,2022-10-22,강원 춘천시 낙원길33번길 4-3,강원 춘천시 낙원동 60-4,127.7255453,37.87971245,,,,,60.0,N,2.0,,5.0,5.0,5.0,,B01,b007325,1;4;,2022-10-22,2022-10-23,대중교통 등,,1;4;,2;4;1,11,여,30,6,1,1,1,3.0,,4,,3,2,50,50130,46,46150,42,42150,2,3,1,3,4,3,2,6,서울특별시,대구,나홀로 여행,2022-10-22~2022-10-22,2,1.0,,0,INFJ
11,아울러,4.477253871819668,2210290013,b_b011048,13,2022-10-29,2022-10-29,강원 춘천시 뱀내길 6,강원 춘천시 삼천동 15,127.7078038,37.87205082,,,,,60.0,Y,4.0,,5.0,5.0,5.0,,B01,b011048,21;,2022-10-29,2022-10-30,,,21;,21;26;22,11,여,30,6,5,2,2,3.0,,6,11.0,1,1,42,42150,42,42110,47,47130,1,3,2,3,4,3,2,6,서울특별시,강원,2인 여행(가족 외),2022-10-29~2022-10-29,1,3.0,2.0,1,INFJ
1,남이섬,4.447201777467461,2210290006,b_b011036,6,2022-10-29,2022-10-29,강원 춘천시 남산면 남이섬길 1,강원 춘천시 남산면 방하리 197,127.5252101,37.79144075,,,POI01000000B5C9SP,남이섬관광휴양지,120.0,Y,4.0,,4.0,4.0,4.0,,B01,b011036,21;22;,2022-10-29,2022-10-30,,,21;22;,21;22;6,11,여,40,7,1,2,2,3.0,,5,8.0,2,2,42,42210,44,44180,44,44825,3,3,3,4,3,3,2,7,서울특별시,강원,2인 여행(가족 외),2022-10-29~2022-10-29,3,5.0,1.0,1,INFJ
11,실비막국수,4.446022565152305,2210300006,b_b015792,21,2022-10-30,2022-10-30,강원 춘천시 소양고개길 25,강원 춘천시 소양로2가 127-1,127.7258243,37.88359193,,,POI010000006CQPTM,실비막국수,30.0,N,1.0,,5.0,5.0,5.0,,B01,b015792,1;21;4;10;22;23;24;26;7;,2022-10-29,2022-10-31,대중교통 등,,1;21;4;10;22;23;24;26;7;,1;10;26,26,여,20,6,2,1,1,12.0,,2,,4,2,50,50130,50,50110,11,11230,2,2,1,2,2,2,3,4,부산광역시,강원,나홀로 여행,2022-10-29~2022-10-30,3,7.0,1.0,1,INTJ
1,남이섬유원지 메타세쿼이아길,4.4357700775569056,2211010006,b_b011644,10,2022-11-01,2022-11-01,강원 춘천시 남산면 남이섬길 1,강원 춘천시 남산면 방하리 197,127.5244807,37.78942766,,,POI01000000B5C9SP,남이섬관광휴양지,60.0,N,1.0,,5.0,5.0,5.0,,B01,b011644,22;24;,2022-11-01,2022-11-02,,,22;24;,12;3;22,11,여,30,6,1,1,4,2.0,,6,12.0,1,1,41,41460,41,41480,26,26350,1,1,1,1,4,1,2,3,서울특별시,강원,부모 동반 여행,2022-11-01~2022-11-01,3,7.0,1.0,1,INTJ
11,낙원닭갈비,4.429249215926223,2211020006,c_c010859,6,2022-11-02,2022-11-02,강원 춘천시 낙원길 34,강원 춘천시 중앙로2가 77,127.7258134,37.87924231,,,,,60.0,N,2.0,,5.0,4.0,5.0,,B01,c010859,21;24;,2022-11-02,2022-11-03,,,21;24;,4;21;24,11,여,50,5,1,2,4,4.0,,5,9.0,3,4,41,41280,46,46130,47,47110,2,3,2,4,3,2,3,3,서울특별시,세종,나홀로 여행,2022-10-27~2022-10-27,1,2.0,8.0,0,INTJ
1,청평사국민여가캠핑장,4.421802538934476,2208200006,b_b001242,16,2022-08-20,2022-08-20,강원 춘천시 북산면 오봉산길 630,강원 춘천시 북산면 청평리 668-11,127.8178618,37.98299388,,,,,30.0,N,1.0,,5.0,5.0,5.0,,B01,b001242,12;3;5;6;8;,2022-08-19,2022-08-22,자가용,,12;3;5;6;8;,5;3;9,28,여,20,6,1,1,1,,3.0,4,,3,2,26,26350,42,42150,50,50110,4,2,4,4,4,4,4,7,인천광역시,강원,나홀로 여행,2022-08-19~2022-08-21,2,4.0,1.0,0,INFJ
