iter	Passed	Remaining
410	4426	7462
411	4436	7451
412	4446	7439
413	4453	7421
414	4462	7408
415	4471	7394
416	4481	7382
417	4490	7369
418	4499	7356
419	4509	7344
420	4521	7334
421	4530	7322
422	4541	7310
423	4550	7298
424	4562	7288
425	4573	7279
426	4584	7268
427	4595	7258
428	4608	7251
429	4619	7240
430	4631	7231
431	4642	7221
432	4654	7212
433	4665	7202
434	4677	7193
435	4689	7185
436	4701	7176
437	4712	7165
438	4724	7156
439	4731	7140
440	4742	7130
441	4755	7122
442	4767	7113
443	4778	7103
444	4789	7092
445	4800	7082
446	4812	7074
447	4825	7065
448	4837	7056
449	4843	7038
450	4848	7019
451	4858	7007
452	4868	6996
453	4878	6983
454	4887	6971
455	4897	6959
456	4907	6947
457	4917	6935
458	4927	6923
459	4937	6912
460	4949	6903
461	4959	6891
462	4971	6882
463	4983	6873
464	4993	6861
465	5006	6854
466	5018	6844
467	5029	6835
468	5040	6824
469	5052	6816
470	5065	6808
471	5076	6797
472	5087	6787
473	5099	6777
474	5104	6759
475	5115	6749
476	5127	6739
477	5140	6732
478	5152	6722
479	5164	6713
480	5175	6703
481	5188	6695
482	5200	6686
483	5211	6675
484	5223	6666
485	5234	6656
486	5245	6645
487	5256	6634
488	5267	6624
489	5278	6614
490	5287	6601
491	5297	6589
492	5306	6577
493	5318	6567
494	5330	6557
495	5340	6546
496	5352	6536
497	5364	6527
498	5376	6518
499	5387	6508
500	5398	6497
501	5410	6487
502	5422	6479
503	5436	6471
504	5450	6465
505	5471	6466
506	5491	6465
507	5503	6456
508	5516	6448
509	5527	6437
510	5539	6428
511	5551	6419
512	5567	6413
513	5578	6403
514	5588	6391
515	5603	6385
516	5608	6368
517	5620	6358
518	5630	6347
519	5641	6335
520	5651	6324
521	5664	6315
522	5676	6305
523	5686	6294
524	5698	6284
525	5711	6275
526	5722	6265
527	5733	6254
528	5745	6245
529	5757	6235
530	5769	6225
531	5780	6214
532	5791	6204
533	5799	6190
534	5804	6173
535	5817	6164
536	5826	6152
537	5837	6140
538	5847	6129
539	5856	6116
540	5867	6106
541	5876	6093
542	5885	6080
543	5895	6069
544	5905	6057
545	5916	6046
546	5928	6037
547	5940	6027
548	5952	6017
549	5965	6008
550	5977	5999
551	5988	5988
552	6000	5978
553	6014	5971
554	6028	5963
555	6041	5954
556	6053	5944
557	6065	5935
558	6078	5926
559	6089	5915
560	6095	5899
561	6107	5889
562	6119	5879
563	6132	5871
564	6144	5862
565	6157	5852
566	6169	5842
567	6181	5833
568	6186	5817
569	6199	5808
570	6211	5798
571	6223	5788
572	6234	5777
573	6248	5769
574	6261	5760
575	6273	5750
576	6284	5740
577	6297	5731
578	6310	5721
579	6322	5712
580	6333	5701
581	6343	5689
582	6356	5680
583	6368	5670
584	6380	5660
585	6392	5651
586	6406	5642
587	6418	5632
588	6430	5622
589	6442	5612
590	6447	5596
591	6457	5584
592	6463	5569
593	6475	5560
594	6487	5549
595	6498	5539
596	6511	5529
597	6522	5519
598	6528	5504
599	6540	5493
600	6550	5482
601	6564	5473
602	6575	5463
603	6580	5447
604	6591	5436
605	6601	5424
606	6612	5414
607	6623	5403
608	6633	5392
609	6644	5381
610	6655	5370
611	6667	5360
612	6680	5351
613	6692	5341
614	6703	5330
615	6714	5319
616	6726	5309
617	6737	5298
618	6748	5287
619	6760	5277
620	6770	5265
621	6781	5255
622	6792	5244
623	6802	5232
624	6811	5220
625	6821	5208
626	6831	5196
627	6841	5185
628	6851	5173
629	6860	5162
630	6871	5150
631	6884	5141
632	6895	5130
633	6907	5120
634	6918	5109
635	6929	5099
636	6940	5088
637	6952	5078
638	6964	5067
639	6975	5057
640	6986	5046
641	6998	5036
642	7008	5025
643	7019	5013
644	7030	5002
645	7041	4992
646	7052	4981
647	7064	4971
648	7074	4959
649	7086	4949
650	7099	4939
651	7111	4929
652	7123	4919
653	7134	4909
654	7147	4899
655	7158	4888
656	7171	4879
657	7183	4869
658	7195	4859
659	7207	4849
660	7218	4837
661	7229	4827
662	7241	4816
663	7254	4807
664	7265	4796
665	7277	4785
666	7288	4775
667	7300	4764
668	7312	4754
669	7326	4745
670	7338	4735
671	7350	4725
672	7362	4715
673	7375	4705
674	7386	4694
675	7397	4683
676	7407	4672
677	7418	4661
678	7430	4651
679	7442	4640
680	7454	4630
681	7464	4618
682	7474	4607
683	7484	4595
684	7495	4584
685	7506	4573
686	7516	4562
687	7527	4551
688	7539	4541
689	7551	4530
690	7562	4520
691	7572	4508
692	7584	4498
693	7595	4487
694	7606	4476
695	7616	4464
696	7626	4453
697	7636	4442
698	7648	4431
699	7660	4421
700	7672	4411
701	7684	4400
702	7696	4390
703	7709	4380
704	7721	4370
705	7733	4359
706	7746	4349
707	7758	4339
708	7770	4329
709	7783	4319
710	7795	4308
711	7807	4298
712	7820	4288
713	7834	4279
714	7847	4269
715	7859	4259
716	7870	4247
717	7881	4236
718	7891	4225
719	7901	4214
720	7912	4202
721	7923	4192
722	7933	4180
723	7944	4169
724	7955	4158
725	7968	4148
726	7980	4138
727	7992	4127
728	8003	4117
729	8015	4106
730	8027	4096
731	8038	4085
732	8050	4074
733	8063	4064
734	8076	4054
735	8088	4044
736	8100	4033
737	8111	4022
738	8121	4011
739	8126	3997
740	8136	3986
741	8146	3974
742	8156	3962
743	8166	3951
744	8179	3941
745	8189	3930
746	8198	3918
747	8209	3907
748	8220	3896
