iter	MAE	RMSE
108	0.6500313188	0.8453565697
109	0.6498930414	0.845257852
110	0.6497108428	0.8451242939
111	0.6496204494	0.8450440254
112	0.6493651143	0.8448769518
113	0.6491120659	0.8446853511
114	0.6489289214	0.8444948039
115	0.6486764502	0.8443223006
116	0.6481578004	0.8439892353
117	0.6480199346	0.8439091142
118	0.6479914349	0.8438741778
119	0.6479502493	0.8438444023
120	0.6479311755	0.843827742
121	0.6477451677	0.8436749502
122	0.6476739688	0.8436142345
123	0.6474134655	0.8434374323
124	0.6473075135	0.8433069762
125	0.647139859	0.8431263047
126	0.6469630104	0.8430067555
127	0.6468496692	0.8429156948
128	0.6466739985	0.8425445531
129	0.6465081409	0.8424040743
130	0.6464467458	0.8423443092
131	0.6462544791	0.8421919811
132	0.6459115112	0.8419140845
133	0.6457456812	0.841730708
134	0.6453276573	0.8414675927
135	0.6450600476	0.8412901794
136	0.6449570536	0.8412306784
137	0.6447954913	0.841119024
138	0.6446865403	0.8409905878
139	0.6446103421	0.8409101667
140	0.6441398381	0.8405776567
141	0.6438932646	0.8404345419
142	0.6438424827	0.8403825123
143	0.6435490206	0.8402098693
144	0.6434167826	0.84013079
145	0.6432081746	0.8400173636
146	0.6429900526	0.8398130061
147	0.6427811122	0.8396157213
148	0.6427089979	0.8395362082
149	0.6425754451	0.8394373196
150	0.6424463977	0.8393182554
151	0.6423384667	0.8392613346
152	0.642229661	0.8391483557
153	0.642088684	0.8390167711
154	0.6419208662	0.8388620884
155	0.6418112226	0.8387708987
156	0.6415685908	0.8386414738
157	0.6414304075	0.8385358905
158	0.6412297765	0.8384122974
159	0.6410876357	0.8383062981
160	0.6409191606	0.8381661522
161	0.6408150075	0.8381172164
162	0.6406882898	0.8380171677
163	0.6405585266	0.8379191317
164	0.6402934374	0.8376573672
165	0.6400192295	0.8375101198
166	0.6399182283	0.8373735394
167	0.6397557997	0.8372390624
168	0.6396901742	0.8371773705
169	0.6395172697	0.8370397142
170	0.639391239	0.8369338667
171	0.6393426721	0.8368987098
172	0.6391506677	0.8367796272
173	0.6388302986	0.8365771581
174	0.6386875108	0.8363490963
175	0.6383840689	0.8360894624
176	0.6382599751	0.8359357469
177	0.6380784744	0.8357638632
178	0.6378508692	0.8356376937
179	0.6378006369	0.8355921716
180	0.637476508	0.8353600984
181	0.6372713177	0.835226365
182	0.6371189254	0.8350994753
183	0.6369851416	0.8350159778
184	0.6368822989	0.8349016804
185	0.6367932442	0.8348292081
186	0.6365817658	0.8347162463
187	0.6364301415	0.8345979175
188	0.6361858435	0.8344514541
189	0.6360129968	0.8343181415
190	0.6358916589	0.8342126134
191	0.6356582501	0.8340674563
192	0.6354760908	0.8338931525
193	0.6351162344	0.8336287788
194	0.6348760603	0.8334601353
195	0.6346981392	0.8333298041
196	0.6346636575	0.8332841406
197	0.6345430177	0.8331782726
198	0.6343992382	0.8330857206
199	0.6342275973	0.8329344679
200	0.6340810357	0.8328077179
201	0.6339676627	0.8326997339
202	0.6338138647	0.8325832973
203	0.6335910728	0.832411834
204	0.6335461393	0.8323576254
205	0.6334078989	0.8322252476
206	0.633407627	0.832216275
207	0.6332860535	0.8320772035
208	0.6332581453	0.8320400598
209	0.6331356697	0.8319626783
210	0.6330181728	0.831855234
211	0.6328781118	0.8317623324
212	0.6327271249	0.8316184736
213	0.6326515302	0.8315577845
214	0.6322567903	0.8312970268
215	0.6320924278	0.8311884287
216	0.6319990208	0.8310911404
217	0.631931966	0.8310341263
218	0.6318656911	0.8309173785
219	0.6315363596	0.8306722906
220	0.6314734028	0.8305828278
221	0.6313417719	0.8304667049
222	0.6311294487	0.8302819537
223	0.6310295263	0.8302112572
224	0.630902481	0.8301262821
225	0.6307760677	0.8300518365
226	0.6306422715	0.8299010493
227	0.6305848061	0.8298239411
228	0.630559124	0.8297758428
229	0.6304668597	0.8297250594
230	0.6303393828	0.8295167614
231	0.6301721683	0.829379888
232	0.6300667163	0.8292252776
233	0.6300175312	0.8291753562
234	0.6298578107	0.8289860774
235	0.6297344853	0.8286461867
236	0.6296028607	0.8284907511
237	0.6294166454	0.8283681907
238	0.6293553335	0.828301218
239	0.629048304	0.8280971717
240	0.62887765	0.8279614487
241	0.6288716671	0.8279518744
242	0.6287866416	0.8278516159
243	0.6287459004	0.8278136772
244	0.6286883468	0.8277569417
245	0.6286573383	0.8277405106
246	0.6286275811	0.8277050852
247	0.6284968199	0.827512807
248	0.6282218673	0.8273139966
249	0.628128473	0.827216349
250	0.6279285078	0.8270919848
251	0.6278443816	0.8270408958
252	0.627613572	0.8269166313
253	0.6275113602	0.8268151538
254	0.6274267712	0.8267168755
255	0.6273206399	0.826657088
256	0.6270606063	0.8264843044
257	0.6268256265	0.8263459978
258	0.6266053747	0.8262183553
259	0.626443067	0.8261151816
260	0.6264039943	0.8260757525
261	0.6263272832	0.8260460031
262	0.6263062535	0.8260412558
263	0.6262592918	0.8260106869
264	0.6260714253	0.8258530976
265	0.6260324878	0.8257931665
266	0.6259556029	0.8256960037
267	0.6258700113	0.8256224901
268	0.6257818245	0.8255478376
269	0.6254963931	0.8253706935
270	0.6253648989	0.8252300194
271	0.625243761	0.8251497338
272	0.6252053096	0.8251212803
273	0.625017077	0.8249733305
274	0.6249177489	0.8249139434
275	0.6249112551	0.8248974005
276	0.6247419854	0.8247978017
277	0.6247025808	0.8247377947
278	0.6245730989	0.8246505821
279	0.6245489382	0.8246286855
280	0.6245480581	0.8246202492
281	0.6244844444	0.8245503198
282	0.6244161013	0.8244946979
283	0.6243925146	0.8244828667
284	0.6243771561	0.8244709042
285	0.6243279384	0.8244344783
286	0.6241429909	0.8242924233
287	0.6241198547	0.8242708475
288	0.6240817948	0.8242583681
289	0.6239647278	0.824150282
290	0.6239458207	0.8241203416
291	0.6239449596	0.8241120925
292	0.6238124058	0.8239416948
293	0.6237802959	0.8239028061
294	0.623748826	0.8238866816
295	0.6237001697	0.8238360719
296	0.6235437734	0.8236312121
297	0.6234044285	0.8235256943
298	0.623385759	0.8234967231
299	0.6231571026	0.8233647592
300	0.6231233592	0.8233270855
301	0.6228871823	0.822958206
302	0.622799487	0.822895457
303	0.6226340023	0.8227719985
304	0.6226236062	0.822751833
305	0.6225445903	0.8226702724
306	0.6225378527	0.8226572848
307	0.6225083267	0.822625657
308	0.6224813445	0.8225891148
309	0.6224072803	0.8225055059
310	0.6222538247	0.8224019311
311	0.6221924574	0.8223616019
312	0.6221546065	0.8222984262
313	0.622050023	0.8220862665
314	0.6220304969	0.8220287373
315	0.6219489613	0.8219455142
316	0.6219221227	0.8218972837
317	0.6219165153	0.821887419
318	0.6218198971	0.8217667371
319	0.621710334	0.8216693407
320	0.62169345	0.8216412129
321	0.6216439525	0.821607471
322	0.6214942988	0.8215352513
323	0.6213459723	0.8214288034
324	0.621313988	0.8213874638
325	0.6212562102	0.8213367388
326	0.6211443834	0.8212088349
327	0.6210184624	0.8211379024
328	0.6209912023	0.821091877
329	0.6209546121	0.8210371941
330	0.6208491749	0.8209527792
331	0.6208337203	0.8209240097
332	0.6206573947	0.8207926272
333	0.6206561154	0.8207849802
334	0.6206423701	0.8207532233
335	0.6205451806	0.8206651143
336	0.6205210023	0.8206329164
337	0.6204439723	0.8204973969
338	0.6203606848	0.8204446484
